id;start_date;end_date;language
1;2020-09-17T11:00:06;2020-09-17T08:50:21;SPANISH
2;2020-09-16T15:50:17;2020-09-17T10:54:42;SPANISH
3;2020-09-17T06:45:36;2020-09-16T17:19:45;FRENCH
4;2020-09-16T22:03:07;2020-09-17T09:34:33;FRENCH
5;2020-09-17T07:33:25;2020-09-17T12:20:24;FRENCH
6;2020-09-17T01:25:46;2020-09-17T13:34:00;FRENCH
7;2020-09-17T03:11:06;2020-09-16T21:01:57;FRENCH
8;2020-09-17T02:07:19;2020-09-17T12:23:27;SPANISH
9;2020-09-17T00:48:28;2020-09-16T21:29:51;SPANISH
10;2020-09-17T09:00:32;2020-09-16T19:35:02;SPANISH
