id;name;address
1;platforms Generic Steel Gloves;monitoring Home Loan Account
2;Investment Account generating Berkshire;Flat Realigned Accountability
3;Massachusetts Industrial Frozen;Savings Account Frozen Savings Account
4;Saint Kitts and Nevis;Credit Card Account Intelligent Cotton Chicken
5;overriding relationships;Frozen
6;solid state Coves;bifurcated invoice
7;Generic;quantifying policy
8;Beauty withdrawal Liberian Dollar;Dynamic Brunei Dollar
9;Cheese vortals communities;TCP TCP
10;service-desk;Frozen
